Problem size,Base_HIP-block_64,RAJA_HIP-block_64
729,149.95,155.56
3375,223.12099999999998,233.037
9261,296.292,310.514
19683,396.514,391.983
35937,422.449,420.241
68921,422.449,420.241
132651,422.449,420.241
250047,417.821,414.774
531441,406.2255,402.97450000000003
753571,394.63,391.175
