Problem size,Base_CUDA-atomic_direct_256,Base_CUDA-atomic_occgs_256,Base_Seq-default,RAJA_CUDA-atomic_direct_256,RAJA_CUDA-atomic_occgs_256
99995,1.25844,1.26529,6.96569,1.22664,1.20025
199995,2.50913,2.51178,6.92973,2.44485,2.40478
399995,5.02467,5.03756,6.94815,4.86807,4.79058
799995,10.0437,10.0659,6.94406,9.76294,9.58923
1599995,20.155,20.0771,6.77215,19.5602,19.1352
3199995,41.679,40.2205,6.38419,40.8481,39.8695
4687495,60.9197,58.8195,6.05978,59.7946,58.5048
9374995,122.225,117.632,5.88666,119.573,116.216
12499995,163.402,157.554,5.95966,162.901,155.161
15624995,208.178,196.703,5.8877,204.578,193.607
18749995,249.995,234.088,5.98091,249.162,233.146
