Problem size,Base_CUDA-block_64,Base_Seq-default,RAJA_CUDA-block_64
27,3.69148,0.0989909,3.63502
64,6.3289,0.0997673,7.04729
216,13.3653,0.100273,13.4897
512,18.409,0.100642,18.1464
1000,21.4014,0.100583,21.0388
1728,22.7549,0.100606,22.7431
3375,24.0204,0.100667,23.9383
6859,24.7604,0.100644,24.7607
13824,25.1391,0.100584,25.1178
19683,25.1981,0.100496,25.2033
39304,25.3024,0.100719,25.3391
