Problem size,Base_CUDA-block_25,Base_Seq-default,RAJA_CUDA-block_25
1600,61.5,6.95157,60.989
6336,149.03,6.984265000000001,148.82049999999998
25344,236.56,6.95157,236.652
50624,422.384,6.95157,422.768
101184,667.038,6.88576,667.937
202368,1033.94,6.86773,1032.6
404736,1270.66,6.83109,1264.16
809536,1432.49,6.77938,1425.82
1619008,1489.37,6.4805,1479.04
2371584,1517.2199999999998,6.15561,1507.75
4743104,1545.07,5.83072,1536.46
