Problem size,Base_CUDA-block_256,Base_Seq-default,RAJA_CUDA-kernel_256,RAJA_CUDA-launch_256
1344,28.1899,7.18731,27.6239,27.5332
4992,102.646,7.10145,97.9681,101.627
19392,313.487,7.10468,297.509,303.501
38784,444.111,7.10163,426.672,445.238
77568,634.204,7.11226,620.637,617.555
154944,773.189,7.02907,763.865,783.746
309696,894.303,6.9884,885.243,914.464
619392,966.655,6.86713,960.322,995.561
1238784,953.226,7.0928,928.741,937.816
1814592,969.049,6.32401,943.198,952.809
3629184,987.865,6.24426,961.381,971.802
