Kernel,Variant,Tuning,Problem size,Checksum,Mean time per rep (sec.),Bandwidth (GiB per sec.),Mean gFlops (gigaFLOP per sec.),__source_file__,Backend,Variant_Tuning
Apps_CONVECTION3DPA,Base_CUDA,block_64,2057940, PASSED     ,0.000102527,1512.12,2738.0,build_lc_toss4-mvapich2-2.3.7-nvcc-12.9.1-90-gcc-10.3.1/RPBenchmark_H100_tier2/CONVECTION3DPA_factor_3000-kernel-run-data.csv,CUDA,Base_CUDA-block_64
Apps_CONVECTION3DPA,RAJA_CUDA,block_64,2057940, PASSED     ,0.000105465,1470.0,2661.73,build_lc_toss4-mvapich2-2.3.7-nvcc-12.9.1-90-gcc-10.3.1/RPBenchmark_H100_tier2/CONVECTION3DPA_factor_3000-kernel-run-data.csv,CUDA,RAJA_CUDA-block_64
Apps_CONVECTION3DPA,Base_Seq,default,21951, PASSED     ,0.000170701,9.68897,17.5411,build_lc_toss4-mvapich2-2.3.7-nvcc-12.9.1-90-gcc-10.3.1/RPBenchmark_H100_tier2/CONVECTION3DPA_factor_32-kernel-run-data.csv,Seq,Base_Seq-default
Apps_CONVECTION3DPA,Base_CUDA,block_64,21951, PASSED     ,4.68898e-06,352.724,638.578,build_lc_toss4-mvapich2-2.3.7-nvcc-12.9.1-90-gcc-10.3.1/RPBenchmark_H100_tier2/CONVECTION3DPA_factor_32-kernel-run-data.csv,CUDA,Base_CUDA-block_64
Apps_CONVECTION3DPA,RAJA_CUDA,block_64,21951, PASSED     ,4.68604e-06,352.946,638.979,build_lc_toss4-mvapich2-2.3.7-nvcc-12.9.1-90-gcc-10.3.1/RPBenchmark_H100_tier2/CONVECTION3DPA_factor_32-kernel-run-data.csv,CUDA,RAJA_CUDA-block_64
Apps_CONVECTION3DPA,Base_Seq,default,2754, PASSED     ,2.16801e-05,9.58193,17.3277,build_lc_toss4-mvapich2-2.3.7-nvcc-12.9.1-90-gcc-10.3.1/RPBenchmark_H100_tier2/CONVECTION3DPA_factor_4-kernel-run-data.csv,Seq,Base_Seq-default
Apps_CONVECTION3DPA,Base_CUDA,block_64,2754, PASSED     ,4.07304e-06,51.003,92.2323,build_lc_toss4-mvapich2-2.3.7-nvcc-12.9.1-90-gcc-10.3.1/RPBenchmark_H100_tier2/CONVECTION3DPA_factor_4-kernel-run-data.csv,CUDA,Base_CUDA-block_64
Apps_CONVECTION3DPA,RAJA_CUDA,block_64,2754, PASSED     ,4.12906e-06,50.311,90.981,build_lc_toss4-mvapich2-2.3.7-nvcc-12.9.1-90-gcc-10.3.1/RPBenchmark_H100_tier2/CONVECTION3DPA_factor_4-kernel-run-data.csv,CUDA,RAJA_CUDA-block_64
Apps_CONVECTION3DPA,Base_Seq,default,351216, PASSED     ,0.00295484,8.95436,16.2136,build_lc_toss4-mvapich2-2.3.7-nvcc-12.9.1-90-gcc-10.3.1/RPBenchmark_H100_tier2/CONVECTION3DPA_factor_512-kernel-run-data.csv,Seq,Base_Seq-default
Apps_CONVECTION3DPA,Base_CUDA,block_64,351216, PASSED     ,2.03592e-05,1299.59,2353.16,build_lc_toss4-mvapich2-2.3.7-nvcc-12.9.1-90-gcc-10.3.1/RPBenchmark_H100_tier2/CONVECTION3DPA_factor_512-kernel-run-data.csv,CUDA,Base_CUDA-block_64
Apps_CONVECTION3DPA,RAJA_CUDA,block_64,351216, PASSED     ,2.04458e-05,1294.09,2343.2,build_lc_toss4-mvapich2-2.3.7-nvcc-12.9.1-90-gcc-10.3.1/RPBenchmark_H100_tier2/CONVECTION3DPA_factor_512-kernel-run-data.csv,CUDA,RAJA_CUDA-block_64
Apps_CONVECTION3DPA,Base_Seq,default,43902, PASSED     ,0.000357982,9.23949,16.7287,build_lc_toss4-mvapich2-2.3.7-nvcc-12.9.1-90-gcc-10.3.1/RPBenchmark_H100_tier2/CONVECTION3DPA_factor_64-kernel-run-data.csv,Seq,Base_Seq-default
Apps_CONVECTION3DPA,Base_CUDA,block_64,43902, PASSED     ,5.69318e-06,580.97,1051.88,build_lc_toss4-mvapich2-2.3.7-nvcc-12.9.1-90-gcc-10.3.1/RPBenchmark_H100_tier2/CONVECTION3DPA_factor_64-kernel-run-data.csv,CUDA,Base_CUDA-block_64
Apps_CONVECTION3DPA,RAJA_CUDA,block_64,43902, PASSED     ,5.61292e-06,589.277,1066.92,build_lc_toss4-mvapich2-2.3.7-nvcc-12.9.1-90-gcc-10.3.1/RPBenchmark_H100_tier2/CONVECTION3DPA_factor_64-kernel-run-data.csv,CUDA,RAJA_CUDA-block_64
Apps_DEL_DOT_VEC_2D,Base_Seq,default,841, PASSED     ,4.37064e-06,9.00417,10.3907,build_lc_toss4-mvapich2-2.3.7-nvcc-12.9.1-90-gcc-10.3.1/RPBenchmark_H100_tier2/DEL_DOT_VEC_2D_factor_1-kernel-run-data.csv,Seq,Base_Seq-default
Apps_DEL_DOT_VEC_2D,Base_CUDA,block_256,841, PASSED     ,2.78384e-06,14.1366,16.3134,build_lc_toss4-mvapich2-2.3.7-nvcc-12.9.1-90-gcc-10.3.1/RPBenchmark_H100_tier2/DEL_DOT_VEC_2D_factor_1-kernel-run-data.csv,CUDA,Base_CUDA-block_256
Apps_DEL_DOT_VEC_2D,RAJA_CUDA,block_256,841, PASSED     ,2.79968e-06,14.0566,16.2211,build_lc_toss4-mvapich2-2.3.7-nvcc-12.9.1-90-gcc-10.3.1/RPBenchmark_H100_tier2/DEL_DOT_VEC_2D_factor_1-kernel-run-data.csv,CUDA,RAJA_CUDA-block_256
Apps_DEL_DOT_VEC_2D,Base_Seq,default,1060900, PASSED     ,0.00639,7.43151,8.96536,build_lc_toss4-mvapich2-2.3.7-nvcc-12.9.1-90-gcc-10.3.1/RPBenchmark_H100_tier2/DEL_DOT_VEC_2D_factor_1024-kernel-run-data.csv,Seq,Base_Seq-default
Apps_DEL_DOT_VEC_2D,Base_CUDA,block_256,1060900, PASSED     ,2.16115e-05,2197.32,2650.84,build_lc_toss4-mvapich2-2.3.7-nvcc-12.9.1-90-gcc-10.3.1/RPBenchmark_H100_tier2/DEL_DOT_VEC_2D_factor_1024-kernel-run-data.csv,CUDA,Base_CUDA-block_256
