Problem size,Base_CUDA-block_64,Base_Seq-default,RAJA_CUDA-block_64
702,23.566,16.2141,23.1867
2754,92.2323,17.3277,90.981
10989,354.031,17.799,354.374
21951,638.578,17.5411,638.979
43902,1051.88,16.7287,1066.92
87804,1634.96,15.571,1533.0
175608,2063.9,17.0316,2030.26
351216,2353.16,16.2136,2343.2
702459,2484.81,15.1397,2413.24
1028970,2588.29,12.5957,2514.33
2057940,2738.0,12.1975,2661.73
