Problem size,Base_CUDA-block_64,Base_Seq-default,RAJA_CUDA-block_64
27,171.232,4.59175,168.613
64,293.57,4.62777,326.893
216,619.958,4.65123,625.73
512,853.911,4.66836,841.732
1000,992.716,4.66559,975.897
1728,1055.5,4.66666,1054.95
3375,1114.2,4.66949,1110.39
6859,1148.53,4.66843,1148.54
13824,1166.1,4.66566,1165.1
19683,1168.83,4.66159,1169.07
39304,1173.67,4.67192,1175.37
