Problem size,Base_CUDA-block_256,Base_Seq-default,RAJA_CUDA-block_256
64,1.03517,5.01708,1.24634
512,7.57386,5.29204,8.03078
3375,49.3251,5.27123,52.5889
8000,116.784,5.22034,123.763
17576,251.866,4.84513,268.187
35937,431.565,4.84351,434.228
79507,774.039,4.82689,751.847
157464,1058.63,5.05904,939.463
328509,837.387,5.05119,858.197
493039,780.501,5.05256,904.162
1000000,868.668,5.00806,992.449
