Problem size,Base_CUDA-blkatm_direct_256,Base_CUDA-blkatm_occgs_256,Base_Seq-cascade,Base_Seq-default,Base_Seq-kahan,RAJA_CUDA-blkatm_direct_256,RAJA_CUDA-blkatm_occgs_256,RAJA_CUDA-blkdev_direct_256,RAJA_CUDA-blkdev_direct_new_256,RAJA_CUDA-blkdev_occgs_256,RAJA_CUDA-blkdev_occgs_new_256
100000,0.168766,0.169245,0.903853,1.88462,0.945023,0.166349,0.162398,7.9428,6.63156,7.91224,6.63305
200000,0.337219,0.339543,0.900716,1.86087,0.941549,0.330747,0.320871,13.8994,10.194,13.789,12.6816
400000,0.681684,0.676545,0.898034,1.86734,0.940453,0.672891,0.642976,19.5225,17.2315,27.3195,24.7722
800000,1.3726,1.35152,0.901887,1.85112,0.936778,1.35971,1.29153,24.3351,24.4619,53.8276,48.3652
1600000,2.78466,2.70085,0.885405,1.65529,0.905274,2.74772,2.71416,27.9768,30.4621,99.8353,90.8721
3200000,5.59518,5.41213,0.785907,1.44327,0.81277,5.61573,5.35196,27.2771,33.0238,141.892,133.432
4687500,8.36953,7.89834,0.789586,1.29351,0.773354,8.39197,7.90503,26.8071,33.959,179.011,168.868
9375000,17.6844,15.7914,0.762034,1.23009,0.777216,17.964,15.7837,26.1292,36.0028,245.362,215.979
12500000,24.6832,21.0566,0.886289,1.26501,0.782941,24.0924,20.9218,25.9751,36.6949,272.671,263.766
15625000,43.2689,41.5914,0.882995,1.2444,0.79581,26.846,26.1101,25.8187,36.8299,293.055,283.656
18750000,43.1103,47.2183,0.884861,1.25784,0.914365,29.1991,31.1522,25.7913,37.3071,299.298,292.677
