Problem size,Base_CUDA-block_256,Base_Seq-default,RAJA_CUDA-block_256
841,74.0756,10.4793,74.024
3844,187.9438,10.4834,189.181
15876,301.812,10.4793,304.338
32400,584.269,10.4875,581.203
65025,1046.67,10.4793,1058.41
131044,1744.94,10.1873,1755.33
264196,2650.84,10.1739,2650.95
528529,2752.57,9.82016,2752.84
1060900,2790.09,8.96536,2792.87
1555009,2875.73,8.801585,2878.88
3115225,2790.09,8.63781,2792.87
