Problem size,Base_CUDA-block_256,Base_Seq-default,RAJA_CUDA-block_256
64,22.4171,15.6634,23.7695
512,77.69455,14.93685,82.77024999999999
3375,132.972,14.2103,141.771
8000,305.958,13.6766,324.241
17576,646.562,12.4379,688.457
35937,1091.71,12.4379,1098.45
79507,1932.98,12.4101,1877.56
157464,1932.98,12.3707,2108.48
328509,2057.35,12.3707,2213.75
493039,2086.765,12.3904,2269.665
1000000,2057.35,12.3707,2213.75
