Problem size,Base_CUDA-direct_1024,Base_Seq-direct,RAJA_CUDA-direct_1024,RAJA_CUDA-funcptr_1024,RAJA_CUDA-virtfunc_1024
42875,0.0,0.0,0.0,0.0,0.0
91125,0.0,0.0,0.0,0.0,0.0
205379,0.0,0.0,0.0,0.0,0.0
421875,0.0,0.0,0.0,0.0,0.0
884736,0.0,0.0,0.0,0.0,0.0
1860867,0.0,0.0,0.0,0.0,0.0
2744000,0.0,0.0,0.0,0.0,0.0
5639752,0.0,0.0,0.0,0.0,0.0
7645373,0.0,0.0,0.0,0.0,0.0
9528128,0.0,0.0,0.0,0.0,0.0
11543176,0.0,0.0,0.0,0.0,0.0
