Problem size,Base_CUDA-block_256,Base_Seq-default,RAJA_CUDA-kernel_256,RAJA_CUDA-launch_256
1344,20.0297,5.10678,19.6275,19.5631
4992,73.568,5.08973,70.2153,72.8381
19392,225.218,5.1042,213.739,218.043
38784,319.194,5.10412,306.66,320.004
77568,455.913,5.11283,446.16,443.945
154944,555.883,5.05354,549.18,563.474
309696,642.991,5.02456,636.478,657.487
619392,695.03,4.9375,690.477,715.813
1238784,685.383,5.09983,667.778,674.303
1814592,696.763,4.54707,678.176,685.086
3629184,710.295,4.48975,691.252,698.745
