Problem size,Base_CUDA-block_256,Base_Seq-default,RAJA_CUDA-block_256
841,62.6523,8.87021,62.6087
3844,157.57965000000002,8.821760000000001,158.61435
15876,252.507,8.77331,254.62
32400,487.276,8.77331,484.718
65025,871.018,8.7674,880.787
131044,1449.86,8.46653,1458.49
264196,2197.32,8.45538,2197.41
528529,2284.61,8.14447,2284.84
1060900,2312.22,7.43151,2314.53
1555009,2382.81,7.29495,2385.42
3115225,2312.22,7.15839,2314.53
