Problem size,Base_HIP-block_256,Base_Seq-default,RAJA_HIP-block_256
834,15.6587,11.0692,14.9557
3334,36.35185,10.8103,38.05555
13334,57.045,10.766,61.1554
26667,113.134,10.766,120.248
53334,234.803,10.766,234.885
106667,417.176,10.766,417.816
213334,606.428,10.766,619.841
426667,743.356,9.41277,750.174
853334,776.438,7.29659,781.695
1250000,833.718,7.2517,833.018
1706667,873.173,7.23801,867.768
2500000,891.961,7.230695,888.96
3333334,910.749,7.23801,910.152
