Problem size,Base_HIP-block_256,Base_Seq-default,RAJA_HIP-block_256
1331,4989.71,8.36483,6813.73
8000,11558.605,8.367365,15246.015
35937,18127.5,8.3699,23678.3
79507,21801.6,8.37836,25705.7
166375,24884.0,8.37836,26113.1
343000,26898.6,8.37836,27834.6
704969,27771.5,8.3743,27864.9
1442897,27886.6,8.3743,28206.4
2985984,28106.0,8.3743,28206.4
4410944,28217.0,8.37918,28655.4
6028568,28558.1,8.38257,28757.0
8869743,28586.55,8.382795,28847.5
12008989,28615.0,8.38257,28938.0
