Problem size,Base_HIP-block_64,Base_Seq-default,RAJA_HIP-block_64
1331,71.1765,10.3068,69.5852
4913,281.662,10.3726,275.031
19683,852.584,10.019,842.255
35937,1272.33,10.04,1252.2
68921,1778.38,10.1523,1772.01
132651,2307.89,10.1074,2315.66
250047,2460.23,9.9999,2490.06
531441,2515.74,8.95839,2477.88
1030301,2486.55,9.23179,2467.91
1442897,2392.52,9.25416,2445.07
2048383,2367.11,9.10268,2372.38
2924207,2242.11,9.26198,2212.31
3869893,2169.68,9.30478,2163.22
