Kernel,Variant,Tuning,Problem size,Checksum,Mean time per rep (sec.),Bandwidth (GiB per sec.),Mean gFlops (gigaFLOP per sec.),__source_file__,Backend,Variant_Tuning,Smoothed Mean flops (gigaFLOP per sec.),Smoothed Bandwidth (GiB per sec.)
Apps_DIFFUSION3DPA,Base_Seq,default,783, PASSED     ,1.52621e-05,6.59477,9.8788,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_MI300A_tier1-SPX/DIFFUSION3DPA_factor_1-kernel-run-data.csv,Seq,Base_Seq-default,9.8788,6.59477
Apps_DIFFUSION3DPA,Base_HIP,block_64,783, PASSED     ,3.94562e-06,25.5093,38.2122,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_MI300A_tier1-SPX/DIFFUSION3DPA_factor_1-kernel-run-data.csv,HIP,Base_HIP-block_64,148.572,99.0499
Apps_DIFFUSION3DPA,RAJA_HIP,block_64,783, PASSED     ,3.77782e-06,26.6423,39.9095,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_MI300A_tier1-SPX/DIFFUSION3DPA_factor_1-kernel-run-data.csv,HIP,RAJA_HIP-block_64,155.076,103.387
Apps_DIFFUSION3DPA,Base_Seq,default,789048, PASSED     ,0.034789,2.91033,4.36735,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_MI300A_tier1-SPX/DIFFUSION3DPA_factor_1024-kernel-run-data.csv,Seq,Base_Seq-default,4.39209,2.92682
Apps_DIFFUSION3DPA,Base_HIP,block_64,789048, PASSED     ,4.22642e-05,2395.58,3594.9,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_MI300A_tier1-SPX/DIFFUSION3DPA_factor_1024-kernel-run-data.csv,HIP,Base_HIP-block_64,3357.58,2237.43
Apps_DIFFUSION3DPA,RAJA_HIP,block_64,789048, PASSED     ,4.10318e-05,2467.53,3702.87,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_MI300A_tier1-SPX/DIFFUSION3DPA_factor_1024-kernel-run-data.csv,HIP,RAJA_HIP-block_64,3488.83,2324.9
Apps_DIFFUSION3DPA,Base_Seq,default,98631, PASSED     ,0.00206685,6.12336,9.18884,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_MI300A_tier1-SPX/DIFFUSION3DPA_factor_128-kernel-run-data.csv,Seq,Base_Seq-default,9.18884,6.12336
Apps_DIFFUSION3DPA,Base_HIP,block_64,98631, PASSED     ,9.35384e-06,1353.03,2030.39,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_MI300A_tier1-SPX/DIFFUSION3DPA_factor_128-kernel-run-data.csv,HIP,Base_HIP-block_64,2030.39,1353.03
Apps_DIFFUSION3DPA,RAJA_HIP,block_64,98631, PASSED     ,9.02344e-06,1402.58,2104.73,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_MI300A_tier1-SPX/DIFFUSION3DPA_factor_128-kernel-run-data.csv,HIP,RAJA_HIP-block_64,2104.73,1402.58
Apps_DIFFUSION3DPA,Base_Seq,default,1155843, PASSED     ,0.0506738,2.92682,4.39209,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_MI300A_tier1-SPX/DIFFUSION3DPA_factor_1500-kernel-run-data.csv,Seq,Base_Seq-default,4.39209,2.92682
Apps_DIFFUSION3DPA,Base_HIP,block_64,1155843, PASSED     ,5.91221e-05,2508.59,3764.48,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_MI300A_tier1-SPX/DIFFUSION3DPA_factor_1500-kernel-run-data.csv,HIP,Base_HIP-block_64,3357.58,2237.43
Apps_DIFFUSION3DPA,RAJA_HIP,block_64,1155843, PASSED     ,5.81985e-05,2548.4,3824.22,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_MI300A_tier1-SPX/DIFFUSION3DPA_factor_1500-kernel-run-data.csv,HIP,RAJA_HIP-block_64,3488.83,2324.9
Apps_DIFFUSION3DPA,Base_Seq,default,12339, PASSED     ,0.000256495,6.17346,9.2631,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_MI300A_tier1-SPX/DIFFUSION3DPA_factor_16-kernel-run-data.csv,Seq,Base_Seq-default,9.34422,6.227
Apps_DIFFUSION3DPA,Base_HIP,block_64,12339, PASSED     ,4.06142e-06,389.88,585.003,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_MI300A_tier1-SPX/DIFFUSION3DPA_factor_16-kernel-run-data.csv,HIP,Base_HIP-block_64,585.003,389.88
Apps_DIFFUSION3DPA,RAJA_HIP,block_64,12339, PASSED     ,3.99682e-06,396.181,594.458,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_MI300A_tier1-SPX/DIFFUSION3DPA_factor_16-kernel-run-data.csv,HIP,RAJA_HIP-block_64,594.458,396.181
Apps_DIFFUSION3DPA,Base_Seq,default,1578096, PASSED     ,0.0670738,3.01898,4.5304,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_MI300A_tier1-SPX/DIFFUSION3DPA_factor_2048-kernel-run-data.csv,Seq,Base_Seq-default,4.5304,3.01898
Apps_DIFFUSION3DPA,Base_HIP,block_64,1578096, PASSED     ,9.0503e-05,2237.43,3357.58,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_MI300A_tier1-SPX/DIFFUSION3DPA_factor_2048-kernel-run-data.csv,HIP,Base_HIP-block_64,3357.58,2237.43
Apps_DIFFUSION3DPA,RAJA_HIP,block_64,1578096, PASSED     ,8.70982e-05,2324.9,3488.83,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_MI300A_tier1-SPX/DIFFUSION3DPA_factor_2048-kernel-run-data.csv,HIP,RAJA_HIP-block_64,3488.83,2324.9
Apps_DIFFUSION3DPA,Base_Seq,default,197262, PASSED     ,0.00572334,4.42259,6.63667,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_MI300A_tier1-SPX/DIFFUSION3DPA_factor_256-kernel-run-data.csv,Seq,Base_Seq-default,6.63667,4.42259
Apps_DIFFUSION3DPA,Base_HIP,block_64,197262, PASSED     ,1.37453e-05,1841.5,2763.42,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_MI300A_tier1-SPX/DIFFUSION3DPA_factor_256-kernel-run-data.csv,HIP,Base_HIP-block_64,2763.42,1841.5
