Problem size,Base_HIP-compile_time_block_stride_loop_64,Base_Seq-default,RAJA_HIP-cached_block_stride_loop_64,RAJA_HIP-compile_time_block_stride_loop_64
389120,12.7729,0.0806808,11.1491,6.64186
778240,24.697,0.0806846,21.9424,12.4963
1556480,44.8625,0.0806822,40.5196,22.0749
3108864,80.9353,0.0803397,73.7694,35.0276
6213632,161.626,0.080184,132.156,36.5386
12423168,182.708,0.0801583,168.003,37.1484
18198528,193.453,0.0803496,230.064,40.8201
24842240,149.777,0.0806487,177.172,38.7535
36392960,170.032,0.0804602,224.417,39.5594
48521216,185.948,0.0804058,214.176,38.9138
60649472,188.417,0.0805517,256.763,39.2686
72781824,200.261,0.0802808,246.16,41.6593
