Problem size,Base_HIP-block_256,RAJA_HIP-block_256
834,14.5674,13.529
3334,57.3879,56.2066
13334,220.81,218.175
26667,436.121,430.261
53334,854.857,854.962
106667,1521.75,1525.69
213334,2220.98,2233.57
426667,2597.69,2641.59
853334,2823.72,2800.46
1250000,3001.63,2940.02
1706667,3150.27,3121.63
2500000,3176.64,3259.36
3333334,3356.3,3376.06
