Problem size,Base_HIP-block_64 (raw),Base_HIP-block_64 (smoothed),Base_Seq-default (raw),Base_Seq-default (smoothed),RAJA_HIP-block_64 (raw),RAJA_HIP-block_64 (smoothed),Base_HIP-block_64 (raw B/W),Base_HIP-block_64 (smoothed B/W),Base_Seq-default (raw B/W),Base_Seq-default (smoothed B/W),RAJA_HIP-block_64 (raw B/W),RAJA_HIP-block_64 (smoothed B/W)
27,2.8229,2.8229,3.51739,3.53797,4.97069,4.97069,0.0608571,0.0608571,0.0758293,0.0762729,0.10716,0.10716
64,2.8051,2.974805,3.53797,3.54711,4.89231,5.198375,0.0604735,0.064132,0.0762729,0.07647000000000001,0.10547,0.1120685
216,3.12671,3.12671,3.55625,3.55625,5.42606,5.42606,0.0674069,0.0674069,0.0766671,0.0766671,0.116977,0.116977
512,3.26604,3.26604,3.5674,3.5674,5.66495,5.66495,0.0704105,0.0704105,0.0769074,0.0769074,0.122127,0.122127
1000,3.32428,3.32428,3.57242,3.5674,5.84976,5.84976,0.0716662,0.0716662,0.0770157,0.0769074,0.126111,0.126111
1728,3.33601,3.33601,3.56954,3.5674,6.06665,6.06665,0.071919,0.071919,0.0769536,0.0769074,0.130787,0.130787
3375,3.34073,3.34073,3.55323,3.55404,6.18593,6.18593,0.0720209,0.0720209,0.0766019,0.0766193,0.133359,0.133359
6859,3.34163,3.34163,3.5539,3.55404,6.29694,6.29694,0.0720402,0.0720402,0.0766165,0.0766193,0.135752,0.135752
13824,3.38547,3.36355,3.55404,3.55397,6.33743,6.317185,0.0729852,0.0725127,0.0766193,0.0766179,0.136625,0.1361885
19683,3.4072,3.38547,3.55916,3.55404,6.34898,6.33743,0.0734538,0.0729852,0.0767298,0.0766193,0.136874,0.136625
