Problem size,Base_HIP-block_25 (raw),Base_HIP-block_25 (smoothed),Base_Seq-default (raw),Base_Seq-default (smoothed),RAJA_HIP-block_25 (raw),RAJA_HIP-block_25 (smoothed),Base_HIP-block_25 (raw B/W),Base_HIP-block_25 (smoothed B/W),Base_Seq-default (raw B/W),Base_Seq-default (smoothed B/W),RAJA_HIP-block_25 (raw B/W),RAJA_HIP-block_25 (smoothed B/W)
1600,38.1057,120.87,11.1064,11.1409,38.3501,119.814,17.8445,56.3896,5.201,5.201,17.9589,55.8969
6336,120.87,163.9215,11.2892,11.123650000000001,119.814,163.047,56.3896,76.42845,5.26676,5.196795,55.8969,76.0204
25344,206.973,206.973,11.1409,11.1409,206.28,206.28,96.4673,96.4673,5.19259,5.19259,96.1439,96.1439
50624,297.449,297.449,11.1052,11.1421,298.307,298.307,138.615,138.615,5.17515,5.19259,139.015,139.015
101184,404.545,404.545,11.1421,11.1409,403.019,403.019,188.507,188.507,5.19191,5.19191,187.797,187.797
202368,440.966,440.966,11.1601,11.1052,443.193,443.193,205.471,205.471,5.2001,5.17515,206.508,206.508
404736,448.585,440.966,11.0989,11.0989,451.425,443.193,209.016,205.471,5.17149,5.17149,210.34,206.508
809536,442.156,440.966,11.0285,11.0285,443.969,443.193,206.019,205.471,5.13865,5.13865,206.864,206.508
1619008,417.077,429.6165,10.9749,11.0017,420.08,432.0245,194.333,200.176,5.11364,5.126145,195.732,201.298
2371584,415.446,417.077,10.9589,10.9749,414.395,420.08,193.572,194.333,5.10618,5.11364,193.082,195.732
