Problem size,Base_HIP-block_256 (raw),Base_HIP-block_256 (smoothed),Base_Seq-default (raw),Base_Seq-default (smoothed),RAJA_HIP-block_256 (raw),RAJA_HIP-block_256 (smoothed),Base_HIP-block_256 (raw B/W),Base_HIP-block_256 (smoothed B/W),Base_Seq-default (raw B/W),Base_Seq-default (smoothed B/W),RAJA_HIP-block_256 (raw B/W),RAJA_HIP-block_256 (smoothed B/W)
64,0.658035,5.40414,4.36214,4.78551,1.45428,7.88968,2.3184,15.9952,15.3687,14.2524,5.12375,23.3519
512,5.40414,20.11547,4.81533,4.71523,7.88968,31.44274,15.9952,54.94115,14.2524,13.57665,23.3519,85.80545
3375,34.8268,34.8268,4.78551,4.78219,54.9958,54.9958,93.8871,93.8871,12.9009,12.9009,148.259,148.259
8000,81.3251,81.3251,4.64495,4.78551,128.699,128.699,213.061,213.061,12.1691,12.2763,337.173,337.173
17576,172.721,162.145,4.78219,4.78219,183.707,164.218,443.39,410.17,12.2763,12.1691,471.59,415.415
35937,162.145,172.721,4.79459,4.64495,164.218,172.5,410.17,431.336,12.1287,12.1287,415.415,430.777
79507,172.724,172.721,4.09687,4.09687,172.5,172.5,431.336,431.336,10.2309,10.2309,430.777,430.777
157464,186.988,162.145,3.38646,3.38646,185.471,164.218,462.878,410.17,8.38297,8.38297,459.122,415.415
328509,156.851,164.7875,1.89846,2.64246,156.627,164.5635,385.364,408.35,4.66426,6.5236149999999995,384.811,407.794
493039,141.61,156.851,1.88236,1.89846,142.018,156.627,346.718,385.364,4.60877,4.66426,347.717,384.811
