Problem size,Base_HIP-direct_1024 (raw),Base_HIP-direct_1024 (smoothed),Base_Seq-direct (raw),Base_Seq-direct (smoothed),RAJA_HIP-direct_1024 (raw),RAJA_HIP-direct_1024 (smoothed),RAJA_HIP-funcptr_1024 (raw),RAJA_HIP-funcptr_1024 (smoothed),RAJA_HIP-virtfunc_1024 (raw),RAJA_HIP-virtfunc_1024 (smoothed),Base_HIP-direct_1024 (raw B/W),Base_HIP-direct_1024 (smoothed B/W),Base_Seq-direct (raw B/W),Base_Seq-direct (smoothed B/W),RAJA_HIP-direct_1024 (raw B/W),RAJA_HIP-direct_1024 (smoothed B/W),RAJA_HIP-funcptr_1024 (raw B/W),RAJA_HIP-funcptr_1024 (smoothed B/W),RAJA_HIP-virtfunc_1024 (raw B/W),RAJA_HIP-virtfunc_1024 (smoothed B/W)
42875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.5465,52.7123,34.2866,31.4224,28.3649,43.3236,30.9433,46.2492,29.0926,44.3283
91125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.7123,64.59955,30.6163,31.01935,43.3236,54.53655,46.2492,57.23955,44.3283,54.9759
205379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.4868,76.4868,31.4224,30.6163,65.7495,65.7495,68.2299,68.2299,65.6235,65.6235
421875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.949,116.949,29.4222,29.4222,99.173,99.173,103.677,103.677,98.5,98.5
884736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.604,127.604,26.5345,26.5345,139.893,139.893,142.861,142.861,133.87,133.87
1860867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,196.573,196.573,16.5543,16.5543,180.069,180.069,177.742,177.742,165.402,165.402
2744000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,207.767,199.269,12.0213,12.0213,194.723,192.515,189.791,187.563,177.557,177.557
3796416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,223.313,205.182,9.34983,9.34983,209.559,194.723,204.866,187.563,191.745,177.557
5639752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,199.269,206.47449999999998,7.45299,8.40141,192.515,197.2725,187.563,188.677,180.556,179.0565
7645373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,205.182,205.182,7.23912,7.45299,199.822,199.822,182.713,187.563,173.613,180.556
