Problem size,Base_HIP-block_256 (raw),Base_HIP-block_256 (smoothed),Base_Seq-default (raw),Base_Seq-default (smoothed),RAJA_HIP-block_256 (raw),RAJA_HIP-block_256 (smoothed),Base_HIP-block_256 (raw B/W),Base_HIP-block_256 (smoothed B/W),Base_Seq-default (raw B/W),Base_Seq-default (smoothed B/W),RAJA_HIP-block_256 (raw B/W),RAJA_HIP-block_256 (smoothed B/W)
841,15.152,72.5329,8.22518,8.30676,22.0669,98.7272,13.1301,61.3475,7.12761,7.05094,19.1223,83.5024
3844,72.5329,188.07595,8.33653,8.28627,98.7272,207.7411,61.3475,157.68325,7.05094,7.00034,83.5024,174.2557
15876,303.619,303.619,8.30676,8.27772,316.755,316.755,254.019,254.019,6.94974,6.94974,265.009,265.009
32400,461.341,443.204,8.26578,8.30676,464.451,456.381,384.755,368.256,6.89359,6.90546,387.348,379.205
65025,567.185,461.341,8.27772,8.27772,560.843,464.451,471.999,384.755,6.88855,6.89359,466.722,387.348
131044,443.204,492.316,8.31087,8.26578,456.381,479.759,368.256,408.618,6.90546,6.88855,379.205,398.196
264196,492.316,492.316,8.21252,8.21252,479.759,479.759,408.618,408.618,6.81632,6.81632,398.196,398.196
528529,520.767,443.204,8.15367,8.16448,514.063,456.381,431.904,368.256,6.76234,6.76766,426.344,379.205
1060900,440.119,466.2175,8.16448,8.159075,447.863,463.81100000000004,364.821,386.71950000000004,6.76766,6.765000000000001,371.24,384.718
1555009,420.319,440.119,8.08762,8.15367,415.82,447.863,348.33,364.821,6.70243,6.76234,344.602,371.24
