Problem size,Base_HIP-block_256 (raw),Base_HIP-block_256 (smoothed),Base_Seq-default (raw),Base_Seq-default (smoothed),RAJA_HIP-kernel_256 (raw),RAJA_HIP-kernel_256 (smoothed),RAJA_HIP-launch_256 (raw),RAJA_HIP-launch_256 (smoothed),Base_HIP-block_256 (raw B/W),Base_HIP-block_256 (smoothed B/W),Base_Seq-default (raw B/W),Base_Seq-default (smoothed B/W),RAJA_HIP-kernel_256 (raw B/W),RAJA_HIP-kernel_256 (smoothed B/W),RAJA_HIP-launch_256 (raw B/W),RAJA_HIP-launch_256 (smoothed B/W)
1344,21.8706,66.3897,6.18006,6.18006,21.7446,58.4839,16.1413,56.552,30.7808,92.6304,8.69785,8.69785,30.6035,81.5998,22.7173,78.9043
4992,66.3897,87.92335,6.23547,6.10205,58.4839,75.5878,56.552,83.0555,92.6304,122.4932,8.70005,8.539705000000001,81.5998,105.3099,78.9043,115.70115
19392,109.457,109.457,6.0085,6.02404,92.6917,92.6917,109.559,109.559,152.356,152.356,8.36339,8.38156,129.02,129.02,152.498,152.498
38784,124.853,117.922,6.02404,6.02263,102.505,95.3096,123.614,113.795,173.714,164.02,8.38156,8.37786,142.62,132.568,171.991,158.28
77568,118.295,117.922,6.02263,6.0085,98.1186,95.3096,114.447,113.795,164.556,164.02,8.37786,8.36339,136.489,132.568,159.203,158.28
154944,117.922,117.922,5.95087,5.9552,95.3096,95.3096,113.795,113.795,164.02,164.02,8.27718,8.28278,132.568,132.568,158.28,158.28
309696,114.955,117.922,5.9552,5.95087,93.5542,95.1529,112.261,113.795,159.885,164.02,8.28278,8.27718,130.12,132.34,156.138,158.28
619392,116.879,117.922,5.90676,5.90676,95.1529,95.1529,113.554,113.795,162.557,164.02,8.21518,8.21518,132.34,132.34,157.932,158.28
1238784,118.942,117.8175,5.8478,5.877280000000001,93.4727,94.35355,115.323,114.4385,165.423,163.861,8.13308,8.17413,130.001,131.23000000000002,160.391,159.1615
1814592,118.756,118.756,5.84722,5.8478,95.7286,95.1529,116.064,115.323,165.165,165.165,8.13223,8.13308,133.138,132.34,161.421,160.391
