Problem size,Base_HIP-block_256 (raw),Base_HIP-block_256 (smoothed),Base_Seq-default (raw),Base_Seq-default (smoothed),RAJA_HIP-block_256 (raw),RAJA_HIP-block_256 (smoothed),Base_HIP-block_256 (raw B/W),Base_HIP-block_256 (smoothed B/W),Base_Seq-default (raw B/W),Base_Seq-default (smoothed B/W),RAJA_HIP-block_256 (raw B/W),RAJA_HIP-block_256 (smoothed B/W)
80000,0.0,0.0,0.0,0.0,0.0,0.0,146.085,217.801,14.1788,10.9567,143.168,220.631
160000,0.0,0.0,0.0,0.0,0.0,0.0,217.801,265.113,10.9567,10.7283,220.631,268.6225
320000,0.0,0.0,0.0,0.0,0.0,0.0,312.425,312.425,10.4999,10.4999,316.614,316.614
640000,0.0,0.0,0.0,0.0,0.0,0.0,374.327,374.327,10.3092,10.3092,379.045,379.045
1280000,0.0,0.0,0.0,0.0,0.0,0.0,443.779,443.779,9.50777,9.50777,440.75,440.75
2560000,0.0,0.0,0.0,0.0,0.0,0.0,466.897,466.897,9.23769,9.23769,466.256,466.256
3750000,0.0,0.0,0.0,0.0,0.0,0.0,481.583,466.897,9.13207,9.13207,484.242,466.256
5120000,0.0,0.0,0.0,0.0,0.0,0.0,473.886,466.897,9.06123,9.06123,474.695,466.256
7500000,0.0,0.0,0.0,0.0,0.0,0.0,452.468,463.177,9.01723,9.03923,451.012,462.8535
10000000,0.0,0.0,0.0,0.0,0.0,0.0,449.537,452.468,8.99193,9.01723,447.195,451.012
