Kernel,Sat Problem Size,Sat GFLOP/s,Sat B/W (GiB per sec.)
Basic_REDUCE_STRUCT-Base_Seq-default,6250.0,2.40431,17.9107
Basic_REDUCE_STRUCT-Base_Seq-kahan,6250.0,0.614436,4.57718
Basic_REDUCE_STRUCT-Base_Seq-cascade,6250.0,1.24252,9.25599
Basic_REDUCE_STRUCT-Base_HIP-blkatm_direct_256,200000.0,4.22656,31.4902
Basic_REDUCE_STRUCT-Base_HIP-blkatm_occgs_256,18750000.0,144.703,1078.12
Basic_REDUCE_STRUCT-RAJA_HIP-blkatm_direct_256,6400000.0,55.167,411.026
Basic_REDUCE_STRUCT-RAJA_HIP-blkdev_direct_256,6400000.0,48.8176,363.719
Basic_REDUCE_STRUCT-RAJA_HIP-blkdev_direct_new_256,200000.0,2.83301,21.1074
Basic_REDUCE_STRUCT-RAJA_HIP-blkatm_occgs_256,9375000.0,270.833,2017.87
Basic_REDUCE_STRUCT-RAJA_HIP-blkdev_occgs_256,9375000.0,257.118,1915.68
Basic_REDUCE_STRUCT-RAJA_HIP-blkdev_occgs_new_256,18750000.0,90.5263,674.473
