Problem size,Base_CUDA-block_64,Base_OpenMP-default,RAJA_CUDA-block_64,RAJA_OpenMP-default
729,16.35,5.98404,16.4278,4.40223
3375,80.9441,24.591,81.3258,19.7174
9261,204.991,39.639,205.656,33.81
19683,354.041,44.6903,351.894,43.081
35937,513.661,57.0016,513.705,54.9555
68921,701.74,61.0992,697.614,61.7113
132651,836.166,61.4506,835.079,63.2546
250047,891.348,56.1093,891.344,50.6603
531441,932.579,64.9119,932.442,68.0351
753571,975.589,64.3397,976.323,67.6861
1442897,978.483,60.2908,978.455,62.9732
