Problem size,Base_CUDA-compile_time_block_stride_loop_64,Base_OpenMP-default,RAJA_CUDA-cached_block_stride_loop_64,RAJA_CUDA-compile_time_block_stride_loop_64,RAJA_OpenMP-default
196608,23.998,3.11134,34.5196,36.6132,3.12702
389120,35.9868,3.1157000000000004,51.091699999999996,54.2535,3.3677
778240,47.9756,3.11134,67.6638,71.8938,3.60838
1556480,90.4269,3.12006,103.088,112.101,3.6564
3108864,152.432,3.59952,142.882,156.245,3.70564
6213632,164.287,3.68387,160.842,176.453,3.70564
9101312,171.814,3.68495,165.765,183.124,3.71857
18198528,198.53,3.69402,184.403,183.124,3.72693
24260608,201.022,3.69402,184.403,200.623,3.72693
30326784,201.584,3.70334,184.5305,202.9325,3.72275
36392960,202.146,3.71266,184.658,200.623,3.72693
