Problem size,Base_CUDA-block_256,Base_OpenMP-default,RAJA_CUDA-block_256,RAJA_OpenMP-default
512,66.3312,20.7946,68.84,17.5927
3375,144.7816,35.682,167.1105,31.11285
17576,223.232,50.5694,265.381,44.633
35937,434.801,64.3748,456.484,59.6865
79507,803.105,73.9311,842.376,71.0449
166375,1171.38,80.9395,1375.68,79.4893
343000,1440.84,85.1208,1956.64,84.6545
704969,1904.57,85.8046,1986.45,85.901
1442897,1969.47,85.8046,2097.33,85.901
2146689,2002.995,86.53575000000001,2157.745,86.24279999999999
4410944,1969.47,85.8046,2097.33,85.901
