Problem size,Base_CUDA-block_64,Base_OpenMP-default,RAJA_CUDA-block_64,RAJA_OpenMP-default
729,80.9441,24.591,81.3258,19.7174
3375,142.96755000000002,32.115,143.4909,26.7637
9261,204.991,39.639,205.656,33.81
19683,354.041,44.6903,351.894,43.081
35937,513.661,57.0016,513.705,54.9555
68921,701.74,57.0016,697.614,54.9555
132651,836.166,61.0992,835.079,61.7113
250047,891.348,61.4506,891.344,63.2546
531441,932.579,61.4506,932.442,63.2546
753571,954.0840000000001,62.31524999999999,954.3824999999999,65.32965
1442897,975.589,64.3397,976.323,67.6861
