Problem size,Base_CUDA-direct_64,Base_CUDA-runtime_block_stride_loop_64,Base_OpenMP-default,RAJA_CUDA-cached_block_stride_loop_64,RAJA_CUDA-direct_64,RAJA_CUDA-runtime_block_stride_loop_64,RAJA_OpenMP-default
5376,40.1369,24.7038,21.5584,26.0639,42.0949,26.0093,14.4129
21312,97.17195,59.42955,35.0237,62.71885,101.49495,63.00765,27.00005
85056,154.207,94.1553,48.489,99.3738,160.895,100.006,39.5872
169920,278.549,177.674,59.655,186.565,288.98,186.156,57.0375
339840,427.96,304.078,70.8782,312.338,442.324,312.304,61.3349
679680,567.742,380.225,78.1116,380.363,556.94,379.693,71.9754
1359360,686.174,462.706,81.5309,457.215,677.221,456.846,85.3379
2718720,728.187,499.571,83.6926,488.976,723.959,488.815,98.4074
5437248,760.526,522.376,83.6926,492.947,749.401,493.1,98.4074
7964736,770.73,529.6700000000001,83.8337,499.5245,760.7055,499.6075,99.4992
15929280,780.934,536.964,83.6926,506.102,772.01,506.115,100.591
