Problem size,Base_CUDA-block_64,Base_OpenMP-default,RAJA_CUDA-block_64,RAJA_OpenMP-default
1728,1.68116,0.888894,1.70927,0.87535
5832,3.22146,0.9371879999999999,3.31318,0.944415
17576,4.76176,0.985482,4.91709,1.01348
39304,9.7421,1.07164,10.0843,1.05757
74088,15.316,1.07283,11.2635,1.08245
140608,15.9798,1.10946,13.9219,1.09068
287496,17.4794,1.10946,14.9037,1.09068
551368,19.0393,1.10946,15.8078,1.08245
1124864,19.8476,1.10729,16.4429,1.07573
1643032,19.97965,1.10458,16.539050000000003,1.074915
3241792,20.1117,1.10187,16.6352,1.0741
