Problem size,Base_CUDA-block_128,Base_OpenMP-default,RAJA_CUDA-block_128,RAJA_OpenMP-default
31104,82.63024999999999,62.15285,55.4838,62.72395
73728,132.656,23.5433,88.0508,64.1992
144000,185.857,65.6286,126.218,67.2799
248832,236.273,67.5296,162.89,67.7634
395136,242.375,66.7623,190.284,67.8246
589824,277.056,64.853,221.473,66.2197
1152000,302.761,60.4006,253.122,59.0691
1533312,319.269,51.4702,269.652,55.8606
1990656,338.935,55.0844,284.038,54.0159
2530944,343.033,52.3814,297.044,51.8627
