Problem size,Base_CUDA-block_256,Base_OpenMP-default,RAJA_CUDA-block_256,RAJA_OpenMP-default
512,0.812077,0.444512,0.811911,0.437438
3375,1.7203835,0.4437395,1.7316254999999998,0.43842000000000003
17576,2.62869,0.444512,2.65134,0.439402
35937,2.74895,0.446042,2.73557,0.44
79507,3.28003,0.446042,3.30032,0.44
166375,3.47188,0.448071,3.46688,0.440896
343000,3.57012,0.448888,3.56119,0.443025
704969,3.62148,0.448888,3.60743,0.44
1442897,3.65731,0.448888,3.64675,0.439148
2146689,3.667605,0.45011100000000004,3.6568,0.438692
4410944,3.6779,0.448542,3.66685,0.432364
