Problem size,Base_CUDA-block_256,Base_OpenMP-default,RAJA_CUDA-block_256,RAJA_OpenMP-default
512,81.708,178.279,81.2449,172.803
3375,343.946,192.061,343.875,185.272
17576,1134.03,191.765,1143.8,189.56
35937,1192.54,192.168,1186.74,191.269
79507,1429.95,194.455,1438.8,193.14
166375,1519.05,196.044,1516.86,192.513
343000,1566.4,196.951,1562.49,192.678
704969,1592.45,198.806,1586.27,195.808
1442897,1611.01,198.961,1606.36,196.027
2146689,1621.38,197.737,1616.51,190.606
4410944,1625.56,195.561,1620.33,185.011
