Problem size,Base_CUDA-block_64,Base_OpenMP-default,RAJA_CUDA-block_64,RAJA_OpenMP-default
729,168.251,51.115,169.044,40.9847
3375,300.3285,67.36445,301.42650000000003,56.1515
9261,432.406,83.6139,433.809,71.3183
19683,752.591,94.9988,748.026,91.5779
35937,1097.09,121.746,1097.19,117.376
68921,1504.92,121.746,1496.07,117.376
132651,1799.01,131.031,1796.67,132.343
250047,1922.51,132.211,1922.5,136.092
531441,2016.11,132.211,2015.81,136.449
753571,2063.5299999999997,134.9265,2064.175,141.453
1442897,2110.95,139.217,2112.54,146.457
