Problem size,Base_CUDA-block_64,Base_OpenMP-default,RAJA_CUDA-block_64,RAJA_OpenMP-default
1728,0.505465,0.648704,0.513667,0.602816
5832,1.68116,0.888894,1.70927,0.87535
17576,4.76176,0.985482,4.91709,1.01348
39304,9.7421,1.07164,10.0843,1.05757
74088,15.316,1.07283,11.2635,1.09068
140608,15.9798,1.10946,13.9219,1.0915
287496,17.4794,1.11222,14.9037,1.08245
551368,19.0393,1.12861,15.8078,1.12596
1124864,19.8476,1.10187,16.4429,1.07019
1643032,20.1117,1.10148,16.6352,1.07573
3241792,20.4663,1.10729,16.9246,1.0741
