Problem size,Base_CUDA-block_256,Base_OpenMP-default,RAJA_CUDA-block_256,RAJA_OpenMP-default
512,0.199627,0.435566,0.198495,0.422187
3375,0.812077,0.453468,0.811911,0.437438
17576,2.62869,0.444512,2.65134,0.439402
35937,2.74895,0.442967,2.73557,0.440896
79507,3.28003,0.446042,3.30032,0.443025
166375,3.47188,0.448071,3.46688,0.44
343000,3.57012,0.448888,3.56119,0.439148
704969,3.62148,0.452116,3.60743,0.445297
1442897,3.65731,0.45168,3.64675,0.44502
2146689,3.6779,0.448542,3.66685,0.432364
4410944,3.6829,0.443065,3.67104,0.419163
