Problem size,Base_CUDA-compile_time_block_stride_loop_64,Base_OpenMP-default,RAJA_CUDA-cached_block_stride_loop_64,RAJA_CUDA-compile_time_block_stride_loop_64,RAJA_OpenMP-default
196608,12.3365,3.11134,17.6035,18.5529,3.01081
389120,23.998,2.21536,34.5196,36.6132,3.12702
778240,47.9756,3.59952,67.6638,71.8938,3.60838
1556480,90.4269,3.12006,103.088,112.101,3.6564
3108864,152.432,1.88502,142.882,156.245,3.70564
6213632,164.287,3.68495,160.842,176.453,3.75715
9101312,171.814,3.68387,165.765,183.124,3.74383
18198528,198.53,3.69402,184.403,205.242,2.57135
24260608,201.022,3.71266,184.658,205.755,3.71857
30326784,202.146,3.72001,185.422,178.344,3.72693
36392960,208.483,2.9548,168.961,200.623,3.74129
