Problem size,Base_CUDA-block_64,Base_OpenMP-default,RAJA_CUDA-block_64,RAJA_OpenMP-default
1728,40.0678,51.4222,40.7179,47.7847
5832,135.061,71.4118,137.319,70.3237
17576,385.5,79.7821,398.075,82.049
39304,791.776,87.0962,819.587,85.9528
74088,1247.72,87.3983,917.587,88.8529
140608,1304.26,90.5537,1136.3,89.0875
287496,1429.03,90.9298,1218.46,88.4957
551368,1558.41,92.3796,1293.91,92.1624
1124864,1626.25,90.2833,1347.28,87.6875
1643032,1648.63,90.2923,1363.64,88.181
3241792,1678.83,90.83,1388.31,88.1069
