Kernel,Sat Problem Size,Sat GFLOP/s,Sat B/W (GiB per sec.)
Apps_MASS3DPA_ATOMIC-Base_CUDA-block_64,250047.0,1943.44,901.055
Apps_MASS3DPA_ATOMIC-RAJA_CUDA-block_64,250047.0,1939.16,899.07
