Kernel,Sat Problem Size,Sat GFLOP/s,Sat B/W (GiB per sec.)
Apps_INTSC_HEXRECT-Base_CUDA-block_64,551368.0,1556.39,19.0146
Apps_INTSC_HEXRECT-RAJA_CUDA-block_64,287496.0,1226.92,15.0072
