Kernel,Sat Problem Size,Sat GFLOP/s,Sat B/W (GiB per sec.)
Apps_ENERGY-Base_Seq-default,417.0,13.341,48.7956
Apps_ENERGY-Base_CUDA-block_256,625000.0,804.683,2943.18
Apps_ENERGY-RAJA_CUDA-block_256,426667.0,846.742,3097.01
