Kernel,Sat Problem Size,Sat GFLOP/s,Sat B/W (GiB per sec.)
Apps_CONVECTION3DPA-Base_Seq-default,702.0,16.2141,8.99998
Apps_CONVECTION3DPA-Base_CUDA-block_64,351216.0,2353.16,1299.59
Apps_CONVECTION3DPA-RAJA_CUDA-block_64,351216.0,2343.2,1294.09
