Kernel,Sat Problem Size,Sat GFLOP/s,Sat B/W (GiB per sec.)
Apps_CONVECTION3DPA-Base_CUDA-block_64,351216.0,2353.16,1299.59
Apps_CONVECTION3DPA-Base_Seq-default,702.0,16.2141,8.99998
Apps_CONVECTION3DPA-RAJA_CUDA-block_64,351216.0,2343.2,1294.09
Apps_DEL_DOT_VEC_2D-Base_CUDA-block_256,264196.0,2752.57,2284.61
Apps_DEL_DOT_VEC_2D-Base_Seq-default,841.0,10.3907,9.00417
Apps_DEL_DOT_VEC_2D-RAJA_CUDA-block_256,264196.0,2752.84,2284.84
Apps_INTSC_HEXHEX-Base_CUDA-block_64,1728.0,1055.5,22.7549
Apps_INTSC_HEXHEX-Base_Seq-default,27.0,4.59175,0.0989909
Apps_INTSC_HEXHEX-RAJA_CUDA-block_64,1728.0,1054.95,22.7431
Apps_LTIMES-Base_CUDA-block_256,309696.0,642.991,894.303
Apps_LTIMES-Base_Seq-default,1344.0,5.10678,7.18731
Apps_LTIMES-RAJA_CUDA-kernel_256,309696.0,636.478,885.243
Apps_LTIMES-RAJA_CUDA-launch_256,309696.0,657.487,914.464
Apps_MASS3DPA-Base_CUDA-block_25,809536.0,3074.41,1432.49
Apps_MASS3DPA-Base_Seq-default,1600.0,14.0527,6.5807
Apps_MASS3DPA-RAJA_CUDA-block_25,809536.0,3060.07,1425.82
Apps_MATVEC_3D_STENCIL-Base_CUDA-block_256,79507.0,774.039,1932.98
Apps_MATVEC_3D_STENCIL-Base_Seq-default,64.0,5.01708,17.6762
Apps_MATVEC_3D_STENCIL-RAJA_CUDA-block_256,157464.0,939.463,2325.58
Basic_INDEXLIST_3LOOP-Base_CUDA-block_256,80000.0,0.0,185.245
Basic_INDEXLIST_3LOOP-Base_Seq-default,80000.0,0.0,6.21439
Basic_INDEXLIST_3LOOP-RAJA_CUDA-block_256,80000.0,0.0,182.04
Basic_MULTI_REDUCE-Base_CUDA-atomic_direct_256,18749995.0,16.7769,249.995
Basic_MULTI_REDUCE-Base_CUDA-atomic_occgs_256,15624995.0,13.2005,196.703
Basic_MULTI_REDUCE-Base_Seq-default,99995.0,0.467413,6.96569
Basic_MULTI_REDUCE-RAJA_CUDA-atomic_direct_256,18749995.0,16.721,249.162
Basic_MULTI_REDUCE-RAJA_CUDA-atomic_occgs_256,15624995.0,12.9928,193.607
Basic_REDUCE_STRUCT-Base_CUDA-blkatm_direct_256,18750000.0,43.1103,321.197
Basic_REDUCE_STRUCT-Base_CUDA-blkatm_occgs_256,18750000.0,47.2183,351.804
Basic_REDUCE_STRUCT-Base_Seq-cascade,100000.0,0.903853,6.73416
Basic_REDUCE_STRUCT-Base_Seq-default,100000.0,1.88462,14.0414
Basic_REDUCE_STRUCT-Base_Seq-kahan,100000.0,0.945023,7.0409
Basic_REDUCE_STRUCT-RAJA_CUDA-blkatm_direct_256,15625000.0,26.846,200.018
Basic_REDUCE_STRUCT-RAJA_CUDA-blkatm_occgs_256,15625000.0,26.1101,194.536
Basic_REDUCE_STRUCT-RAJA_CUDA-blkdev_direct_256,800000.0,24.3351,181.31
Basic_REDUCE_STRUCT-RAJA_CUDA-blkdev_direct_new_256,4687500.0,33.959,253.014
Basic_REDUCE_STRUCT-RAJA_CUDA-blkdev_occgs_256,12500000.0,272.671,2031.56
Basic_REDUCE_STRUCT-RAJA_CUDA-blkdev_occgs_new_256,12500000.0,263.766,1965.21
Comm_HALO_PACKING_FUSED-Base_CUDA-direct_1024,42875.0,0.0,27.8679
Comm_HALO_PACKING_FUSED-Base_Seq-direct,42875.0,0.0,37.5249
Comm_HALO_PACKING_FUSED-RAJA_CUDA-direct_1024,42875.0,0.0,24.3736
Comm_HALO_PACKING_FUSED-RAJA_CUDA-funcptr_1024,42875.0,0.0,22.4841
Comm_HALO_PACKING_FUSED-RAJA_CUDA-virtfunc_1024,42875.0,0.0,22.6106
