Problem size,Base_HIP-block_256 (raw),Base_HIP-block_256 (smoothed),Base_Seq-default (raw),Base_Seq-default (smoothed),RAJA_HIP-block_256 (raw),RAJA_HIP-block_256 (smoothed),Base_HIP-block_256 (raw B/W),Base_HIP-block_256 (smoothed B/W),Base_Seq-default (raw B/W),Base_Seq-default (smoothed B/W),RAJA_HIP-block_256 (raw B/W),RAJA_HIP-block_256 (smoothed B/W)
1331,1151.55,4989.71,8.36483,8.36483,1566.85,6813.73,2.75942,11.6555,0.0200444,0.0195325,3.75459,15.9162
8000,4989.71,11558.605,8.36188,8.367365,6813.73,15246.015,11.6555,26.7207,0.0195325,0.019413,15.9162,35.24865
35937,18127.5,18127.5,8.3699,8.3699,23678.3,23678.3,41.7859,41.7859,0.0192935,0.0192935,54.5811,54.5811
79507,21801.6,21801.6,8.38141,8.37836,26113.1,25705.7,50.0086,50.0086,0.0192253,0.0192253,59.8984,58.752
166375,24884.0,24884.0,8.37836,8.37836,25705.7,26113.1,56.8739,56.8739,0.0191493,0.0191493,58.752,59.8984
343000,27771.5,26898.6,8.3848,8.37836,28947.6,27834.6,63.2963,61.1716,0.0191105,0.0191105,65.9768,63.2589
704969,26898.6,27771.5,8.37346,8.3743,27834.6,27864.9,61.1716,63.2963,0.0190425,0.0190425,63.3001,63.3001
1442897,27886.6,27886.6,8.37162,8.3743,27864.9,28206.4,63.3082,63.3082,0.0190052,0.0190052,63.2589,63.9446
2985984,28106.0,28106.0,8.3743,8.3743,28206.4,28206.4,63.717,63.717,0.0189848,0.0189935,63.9446,63.9446
4410944,28217.0,28217.0,8.38338,8.37918,28655.4,28655.4,63.9287,63.9287,0.0189935,0.0189848,64.9219,64.9219
6028568,28558.1,28558.1,8.38302,8.38257,28757.0,28757.0,64.6727,64.6727,0.0189842,0.0189842,65.1231,65.1231
8869743,28733.0,28586.55,8.37918,8.382795,28945.3,28847.5,65.0368,64.71015,0.0189662,0.0189758,65.5175,65.3008
12008989,28615.0,28615.0,8.38257,8.38257,28938.0,28938.0,64.7476,64.7476,0.0189674,0.0189674,65.4785,65.4785
