Problem size,Base_HIP-direct_1024,Base_Seq-direct,RAJA_HIP-direct_1024,RAJA_HIP-funcptr_1024,RAJA_HIP-virtfunc_1024
42875,35.5465,34.2866,28.3649,30.9433,29.0926
91125,52.7123,30.6163,43.3236,46.2492,44.3283
205379,76.4868,31.4224,65.7495,68.2299,65.6235
421875,116.949,29.4222,99.173,103.677,98.5
884736,127.604,26.5345,139.893,142.861,133.87
1860867,196.573,16.5543,180.069,177.742,165.402
2744000,207.767,12.0213,194.723,189.791,177.557
3796416,223.313,9.34983,209.559,204.866,191.745
5639752,199.269,7.45299,192.515,187.563,180.556
7645373,205.182,7.23912,199.822,182.713,173.613
