Problem size,Base_HIP-atomic_direct_256,Base_HIP-atomic_occgs_256,Base_Seq-default,RAJA_HIP-atomic_direct_256,RAJA_HIP-atomic_occgs_256
3120,17.7215,17.6489,4.64252,17.0075,16.6415
12495,43.36385,43.346,4.621090000000001,40.8584,39.8672
49995,69.0062,69.0431,4.59966,64.7093,63.0929
99995,124.126,130.713,4.59197,117.075,123.133
199995,221.566,238.614,4.58966,204.062,217.27
399995,297.757,298.961,4.5878,282.78,288.432
799995,407.522,408.478,4.58573,387.028,398.214
1599995,412.268,463.435,4.57977,387.028,463.739
3199995,434.953,480.44550000000004,4.579155,399.5825,477.746
4687495,457.638,497.456,4.57854,412.137,491.753
