Problem size,Base_HIP-block_256,Base_Seq-default,RAJA_HIP-kernel_256,RAJA_HIP-launch_256
1344,92.6304,8.69785,81.5998,78.9043
4992,122.4932,8.539705000000001,105.3099,115.70115
19392,152.356,8.38156,129.02,152.498
38784,164.02,8.37786,132.568,158.28
77568,164.02,8.36339,132.568,158.28
154944,164.02,8.28278,132.568,158.28
309696,164.02,8.27718,132.34,158.28
619392,164.02,8.21518,132.34,158.28
1238784,163.861,8.17413,131.23000000000002,159.1615
1814592,165.165,8.13308,132.34,160.391
