Problem size,Base_HIP-block_256,Base_Seq-default,RAJA_HIP-kernel_256,RAJA_HIP-launch_256
1344,21.8706,6.18006,21.7446,16.1413
4992,66.3897,6.23547,58.4839,56.552
19392,109.457,6.0085,92.6917,109.559
38784,124.853,6.02404,102.505,123.614
77568,118.295,6.02263,98.1186,114.447
154944,117.922,5.95087,95.3096,113.795
309696,114.955,5.9552,93.5542,112.261
619392,116.879,5.90676,95.1529,113.554
1238784,118.942,5.8478,93.4727,115.323
1814592,118.756,5.84722,95.7286,116.064
