Problem size,Base_HIP-blkatm_direct_256,Base_HIP-blkatm_occgs_256,Base_Seq-cascade,Base_Seq-default,Base_Seq-kahan,RAJA_HIP-blkatm_direct_256,RAJA_HIP-blkatm_occgs_256,RAJA_HIP-blkdev_direct_256,RAJA_HIP-blkdev_direct_new_256,RAJA_HIP-blkdev_occgs_256,RAJA_HIP-blkdev_occgs_new_256
3125,5.44607,5.49647,9.41668,17.671,4.57919,7.82994,7.89981,6.5301,6.75435,6.43316,6.69453
12500,6.26186,6.326775,9.41394,17.744149999999998,4.58167,17.67527,17.763055,14.8131,13.548425,14.627930000000001,13.470165
50000,7.07765,7.15708,9.41252,17.8173,4.58415,27.5206,27.6263,23.0961,20.3425,22.8227,20.2458
100000,7.31487,14.5278,9.41668,17.833,4.58426,40.4865,53.8797,34.9564,27.6976,44.3131,35.7095
200000,7.8085,28.7275,9.41254,17.8173,4.58483,55.0749,100.061,48.5718,33.3397,85.28,68.5554
400000,7.8085,52.5516,9.41252,17.8173,4.58483,61.9048,158.329,54.5527,38.9782,137.984,120.369
800000,7.8085,93.6942,9.41252,17.7726,4.58483,68.097,256.172,59.208,42.077,224.522,201.431
1600000,7.9639,173.54,9.3563,17.2186,4.57427,72.4032,364.879,62.2175,44.5954,326.557,312.237
3200000,7.8473299999999995,215.836,9.35268,17.1555,4.57362,72.4356,376.2495,62.327200000000005,44.67255,340.2935,332.707
4687500,7.73076,258.132,9.34906,17.0924,4.57297,72.468,387.62,62.4369,44.7497,354.03,353.177
