Problem size,Base_HIP-block_256,Base_Seq-default,RAJA_HIP-kernel_256,RAJA_HIP-launch_256
1344,30.7808,8.69785,30.6035,22.7173
4992,92.6304,8.70005,81.5998,78.9043
19392,152.356,8.36339,129.02,152.498
38784,173.714,8.38156,142.62,171.991
77568,164.556,8.37786,136.489,159.203
154944,164.02,8.27718,132.568,158.28
309696,159.885,8.28278,130.12,156.138
619392,162.557,8.21518,132.34,157.932
1238784,165.423,8.13308,130.001,160.391
1814592,165.165,8.13223,133.138,161.421
