Problem size,Base_HIP-atomic_direct_256,Base_HIP-atomic_occgs_256,Base_Seq-default,RAJA_HIP-atomic_direct_256,RAJA_HIP-atomic_occgs_256
3120,1.18832,1.18345,0.311305,1.14044,1.1159
12495,2.90916,2.907965,0.30996049999999997,2.74107,2.674575
49995,4.63,4.63248,0.308616,4.3417,4.23325
99995,8.3291,8.77114,0.308131,7.856,8.26249
199995,14.8683,16.0123,0.307991,13.6937,14.58
399995,19.9816,20.0624,0.307875,18.9766,19.3558
799995,27.348,27.4121,0.307739,25.9727,26.7233
1599995,27.6668,31.1006,0.307341,25.9727,31.121
3199995,29.189149999999998,32.2421,0.3073005,26.8153,32.0609
4687495,30.7115,33.3836,0.30726,27.6579,33.0008
