Kernel,Variant,Tuning,Problem size,Checksum,Mean time per rep (sec.),Bandwidth (GiB per sec.),Mean gFlops (gigaFLOP per sec.),__source_file__,Backend,Variant_Tuning
Apps_CONVECTION3DPA,Base_Seq,default,702, PASSED     ,7.33484e-06,7.24657,13.0552,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_MI300A_tier2-CPX/CONVECTION3DPA_factor_1-kernel-run-data.csv,Seq,Base_Seq-default
Apps_CONVECTION3DPA,Base_HIP,block_64,702, PASSED     ,2.82362e-06,18.8242,33.9132,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_MI300A_tier2-CPX/CONVECTION3DPA_factor_1-kernel-run-data.csv,HIP,Base_HIP-block_64
Apps_CONVECTION3DPA,RAJA_HIP,block_64,702, PASSED     ,2.89982e-06,18.3296,33.022,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_MI300A_tier2-CPX/CONVECTION3DPA_factor_1-kernel-run-data.csv,HIP,RAJA_HIP-block_64
Apps_CONVECTION3DPA,Base_Seq,default,702459, PASSED     ,0.0245371,2.15669,3.90513,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_MI300A_tier2-CPX/CONVECTION3DPA_factor_1024-kernel-run-data.csv,Seq,Base_Seq-default
Apps_CONVECTION3DPA,Base_HIP,block_64,702459, PASSED     ,0.000253699,208.59,377.694,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_MI300A_tier2-CPX/CONVECTION3DPA_factor_1024-kernel-run-data.csv,HIP,Base_HIP-block_64
Apps_CONVECTION3DPA,RAJA_HIP,block_64,702459, PASSED     ,0.000254628,207.829,376.316,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_MI300A_tier2-CPX/CONVECTION3DPA_factor_1024-kernel-run-data.csv,HIP,RAJA_HIP-block_64
Apps_CONVECTION3DPA,Base_Seq,default,87804, PASSED     ,0.000946896,6.98584,12.6488,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_MI300A_tier2-CPX/CONVECTION3DPA_factor_128-kernel-run-data.csv,Seq,Base_Seq-default
Apps_CONVECTION3DPA,Base_HIP,block_64,87804, PASSED     ,2.85542e-05,231.66,419.452,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_MI300A_tier2-CPX/CONVECTION3DPA_factor_128-kernel-run-data.csv,HIP,Base_HIP-block_64
Apps_CONVECTION3DPA,RAJA_HIP,block_64,87804, PASSED     ,2.83612e-05,233.236,422.306,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_MI300A_tier2-CPX/CONVECTION3DPA_factor_128-kernel-run-data.csv,HIP,RAJA_HIP-block_64
Apps_CONVECTION3DPA,Base_Seq,default,1028970, PASSED     ,0.0376482,2.05897,3.72818,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_MI300A_tier2-CPX/CONVECTION3DPA_factor_1500-kernel-run-data.csv,Seq,Base_Seq-default
Apps_CONVECTION3DPA,Base_HIP,block_64,1028970, PASSED     ,0.000379837,204.078,369.525,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_MI300A_tier2-CPX/CONVECTION3DPA_factor_1500-kernel-run-data.csv,HIP,Base_HIP-block_64
Apps_CONVECTION3DPA,RAJA_HIP,block_64,1028970, PASSED     ,0.000378437,204.833,370.892,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_MI300A_tier2-CPX/CONVECTION3DPA_factor_1500-kernel-run-data.csv,HIP,RAJA_HIP-block_64
Apps_CONVECTION3DPA,Base_Seq,default,10989, PASSED     ,0.000110231,7.51252,13.5986,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_MI300A_tier2-CPX/CONVECTION3DPA_factor_16-kernel-run-data.csv,Seq,Base_Seq-default
Apps_CONVECTION3DPA,Base_HIP,block_64,10989, PASSED     ,5.26884e-06,157.171,284.499,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_MI300A_tier2-CPX/CONVECTION3DPA_factor_16-kernel-run-data.csv,HIP,Base_HIP-block_64
Apps_CONVECTION3DPA,RAJA_HIP,block_64,10989, PASSED     ,5.42224e-06,152.725,276.451,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_MI300A_tier2-CPX/CONVECTION3DPA_factor_16-kernel-run-data.csv,HIP,RAJA_HIP-block_64
Apps_CONVECTION3DPA,Base_Seq,default,175608, PASSED     ,0.00249516,5.30205,9.60028,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_MI300A_tier2-CPX/CONVECTION3DPA_factor_256-kernel-run-data.csv,Seq,Base_Seq-default
Apps_CONVECTION3DPA,Base_HIP,block_64,175608, PASSED     ,5.60524e-05,236.02,427.354,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_MI300A_tier2-CPX/CONVECTION3DPA_factor_256-kernel-run-data.csv,HIP,Base_HIP-block_64
