Problem size,Base_HIP-blkatm_direct_256,Base_HIP-blkatm_occgs_256,Base_Seq-cascade,Base_Seq-default,Base_Seq-kahan,RAJA_HIP-blkatm_direct_256,RAJA_HIP-blkatm_occgs_256,RAJA_HIP-blkdev_direct_256,RAJA_HIP-blkdev_direct_new_256,RAJA_HIP-blkdev_occgs_256,RAJA_HIP-blkdev_occgs_new_256
3125,2.43833,2.45828,9.20709,17.0284,4.52183,2.02997,2.02829,2.43362,1.76144,2.42725,1.73304
12500,5.44607,5.49647,9.48223,18.0593,4.57919,7.82994,7.89981,6.5301,6.75435,6.43316,6.69453
50000,7.07765,7.15708,9.41668,17.671,4.58415,27.5206,27.6263,23.0961,20.3425,22.8227,20.2458
100000,7.31487,14.5278,9.4112,17.8173,4.58426,40.4865,53.8797,34.9564,27.6976,44.3131,35.7095
200000,7.8085,28.7275,9.41252,17.833,4.58483,55.0749,100.061,48.5718,33.3397,85.28,68.5554
400000,8.17193,52.5516,9.43391,17.9217,4.58753,61.9048,158.329,54.5527,38.9782,137.984,120.369
800000,7.9639,93.6942,9.41254,17.7726,4.58485,68.097,256.172,59.208,42.077,224.522,201.431
1600000,7.71168,173.54,9.3563,17.2186,4.57427,72.4032,364.879,63.0717,44.5954,326.557,312.237
3200000,7.73076,258.132,9.34906,17.092,4.57258,72.468,387.62,62.2175,44.7497,354.03,353.177
4687500,8.63973,282.678,9.34431,17.0924,4.57297,72.9963,391.914,62.4369,45.2207,365.851,368.856
