Problem size,Base_HIP-direct_1024,Base_Seq-direct,RAJA_HIP-direct_1024,RAJA_HIP-funcptr_1024,RAJA_HIP-virtfunc_1024
42875,0.0,0.0,0.0,0.0,0.0
91125,0.0,0.0,0.0,0.0,0.0
205379,0.0,0.0,0.0,0.0,0.0
421875,0.0,0.0,0.0,0.0,0.0
884736,0.0,0.0,0.0,0.0,0.0
1860867,0.0,0.0,0.0,0.0,0.0
2744000,0.0,0.0,0.0,0.0,0.0
3796416,0.0,0.0,0.0,0.0,0.0
5639752,0.0,0.0,0.0,0.0,0.0
7645373,0.0,0.0,0.0,0.0,0.0
