Problem size,Base_HIP-block_256,Base_Seq-default,RAJA_HIP-block_256
841,15.152,8.22518,22.0669
3844,72.5329,8.33653,98.7272
15876,303.619,8.30676,316.755
32400,461.341,8.26578,464.451
65025,567.185,8.27772,560.843
131044,443.204,8.31087,456.381
264196,492.316,8.21252,479.759
528529,520.767,8.15367,514.063
1060900,440.119,8.16448,447.863
1555009,420.319,8.08762,415.82
