Problem size,Base_HIP-direct_1024,Base_Seq-direct,RAJA_HIP-direct_1024,RAJA_HIP-funcptr_1024,RAJA_HIP-virtfunc_1024
42875,52.7123,31.4224,43.3236,46.2492,44.3283
91125,64.59955,31.01935,54.53655,57.23955,54.9759
205379,76.4868,30.6163,65.7495,68.2299,65.6235
421875,116.949,29.4222,99.173,103.677,98.5
884736,127.604,26.5345,139.893,142.861,133.87
1860867,196.573,16.5543,180.069,177.742,165.402
2744000,199.269,12.0213,192.515,187.563,177.557
3796416,205.182,9.34983,194.723,187.563,177.557
5639752,206.47449999999998,8.40141,197.2725,188.677,179.0565
7645373,205.182,7.45299,199.822,187.563,180.556
