Problem size,Base_HIP-block_64,Base_Seq-default,RAJA_HIP-block_64
702,71.4457,7.51252,66.6931
2754,114.30834999999999,7.379545,109.70904999999999
10989,157.171,7.24657,152.725
21951,198.044,7.04361,193.521
43902,223.049,6.98584,220.403
87804,231.122,6.57224,228.273
175608,231.122,5.30205,228.273
351216,231.122,2.47933,228.273
702459,219.856,2.31801,218.051
1028970,208.59,2.15669,207.829
