Problem size,Base_HIP-blkatm_direct_256,Base_HIP-blkatm_occgs_256,Base_Seq-cascade,Base_Seq-default,Base_Seq-kahan,RAJA_HIP-blkatm_direct_256,RAJA_HIP-blkatm_occgs_256,RAJA_HIP-blkdev_direct_256,RAJA_HIP-blkdev_direct_new_256,RAJA_HIP-blkdev_occgs_256,RAJA_HIP-blkdev_occgs_new_256
3125,0.731018,0.737782,1.26391,2.37181,0.614658,1.051,1.06038,0.876525,0.906626,0.863514,0.898597
12500,0.8404915,0.8492040000000001,1.263535,2.381615,0.6149725,2.37241,2.384195,1.9882475,1.818503,1.9633969999999998,1.8079985
50000,0.949965,0.960626,1.26333,2.39142,0.615287,3.69382,3.70801,3.09997,2.73038,3.06328,2.7174
100000,0.981795,1.94991,1.26391,2.39351,0.615295,5.43406,7.23168,4.69181,3.71754,5.94766,4.79289
200000,1.04804,3.85576,1.26333,2.39142,0.615369,7.39206,13.43,6.51923,4.47481,11.4461,9.2014
400000,1.04804,7.05338,1.26333,2.39142,0.615369,8.30874,21.2506,7.32195,5.23158,18.52,16.1557
800000,1.04804,12.5754,1.26333,2.3854,0.615369,9.13983,34.3828,7.94678,5.64748,30.1348,27.0357
1600000,1.0689,23.2921,1.25578,2.31104,0.613948,9.7178,48.9732,8.35069,5.98549,43.8298,41.9078
3200000,1.053255,28.969,1.2552949999999998,2.3025700000000002,0.613861,9.72215,50.49935,8.365415,5.995845,45.67345,44.6552
4687500,1.03761,34.6459,1.25481,2.2941,0.613774,9.7265,52.0255,8.38014,6.0062,47.5171,47.4026
