Problem size,Base_HIP-block_64,Base_Seq-default,RAJA_HIP-block_64
27,2.8229,3.53797,4.97069
64,2.974805,3.54711,5.198375
216,3.12671,3.55625,5.42606
512,3.26604,3.5674,5.66495
1000,3.32428,3.5674,5.84976
1728,3.33601,3.5674,6.06665
3375,3.34073,3.55404,6.18593
6859,3.34163,3.55404,6.29694
13824,3.36355,3.55397,6.317185
19683,3.38547,3.55404,6.33743
